127.0.0.1 - - [28/Nov/2016:18:58:46 +0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Nov/2016:18:58:48 +0600] "GET /myBlog/ HTTP/1.1" 200 6726
0:0:0:0:0:0:0:1 - - [28/Nov/2016:18:58:48 +0600] "GET /myBlog/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:18:58:48 +0600] "GET /myBlog/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:18:58:48 +0600] "GET /myBlog/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [28/Nov/2016:18:58:49 +0600] "GET /myBlog/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:18:58:49 +0600] "GET /myBlog/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:18:59:13 +0600] "GET /myBlog/ HTTP/1.1" 200 6726
0:0:0:0:0:0:0:1 - - [28/Nov/2016:18:59:13 +0600] "GET /myBlog/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:18:59:13 +0600] "GET /myBlog/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:18:59:13 +0600] "GET /myBlog/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:18:59:13 +0600] "GET /myBlog/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:18:59:14 +0600] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [28/Nov/2016:18:59:22 +0600] "GET /myBlog/index.jsp HTTP/1.1" 200 6726
0:0:0:0:0:0:0:1 - - [28/Nov/2016:18:59:23 +0600] "GET /myBlog/about.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [28/Nov/2016:18:59:26 +0600] "GET /myBlog/contact.jsp HTTP/1.1" 200 6733
0:0:0:0:0:0:0:1 - - [28/Nov/2016:18:59:28 +0600] "GET /myBlog/Blog/admin/createPost.jsp HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [28/Nov/2016:18:59:32 +0600] "GET /myBlog/index.jsp HTTP/1.1" 200 6726
0:0:0:0:0:0:0:1 - - [28/Nov/2016:18:59:34 +0600] "GET /myBlog/about.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [28/Nov/2016:18:59:35 +0600] "GET /myBlog/contact.jsp HTTP/1.1" 200 6733
0:0:0:0:0:0:0:1 - - [28/Nov/2016:19:00:27 +0600] "POST /myBlog/adminLogin HTTP/1.1" 302 -
