127.0.0.1 - - [09/Dec/2016:17:40:14 +0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:40:18 +0600] "GET /myBlog/ HTTP/1.1" 200 18619
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:40:19 +0600] "GET /myBlog/css/style.css HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:40:19 +0600] "GET /myBlog/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:40:19 +0600] "GET /myBlog/imgFolder/310819428_Untitled.jpg HTTP/1.1" 200 62553
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:40:19 +0600] "GET /myBlog/imgFolder/1529445924_9126_NpAdvSinglePhoto.jpg HTTP/1.1" 200 48366
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:40:19 +0600] "GET /myBlog/imgFolder/2144320796_11863478_708102439323214_8979033140936250541_n.jpg HTTP/1.1" 200 30753
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:40:19 +0600] "GET /myBlog/imgFolder/1002432832_10462837_682426738557451_2663956830950566328_n.jpg HTTP/1.1" 200 102786
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:40:19 +0600] "GET /myBlog/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:40:19 +0600] "GET /myBlog/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:40:19 +0600] "GET /myBlog/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:40:28 +0600] "GET /myBlog/ HTTP/1.1" 200 18619
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:40:28 +0600] "GET /myBlog/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:40:28 +0600] "GET /myBlog/css/style.css HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:40:28 +0600] "GET /myBlog/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:40:28 +0600] "GET /myBlog/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:40:28 +0600] "GET /myBlog/imgFolder/310819428_Untitled.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:40:28 +0600] "GET /myBlog/imgFolder/1529445924_9126_NpAdvSinglePhoto.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:40:28 +0600] "GET /myBlog/imgFolder/1002432832_10462837_682426738557451_2663956830950566328_n.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:40:28 +0600] "GET /myBlog/imgFolder/2144320796_11863478_708102439323214_8979033140936250541_n.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:40:29 +0600] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:41:21 +0600] "POST /myBlog/adminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:41:21 +0600] "GET /myBlog/index.jsp HTTP/1.1" 200 19353
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:41:26 +0600] "GET /myBlog/admin/dashboard.jsp HTTP/1.1" 200 13629
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:41:36 +0600] "GET /myBlog/index.jsp HTTP/1.1" 200 19353
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:42:38 +0600] "GET /myBlog/singlePostView?id=22 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:42:38 +0600] "GET /myBlog/singlePostView.jsp?id=22 HTTP/1.1" 200 3982
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:44:02 +0600] "GET /myBlog/admin/dashboard.jsp HTTP/1.1" 200 13629
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:44:04 +0600] "GET /myBlog/postSingleShow?id=21 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:44:04 +0600] "GET /myBlog/admin/singleShow.jsp?id=21 HTTP/1.1" 200 4648
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:46:07 +0600] "GET /myBlog/admin/dashboard.jsp HTTP/1.1" 200 13629
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:46:09 +0600] "GET /myBlog/index.jsp HTTP/1.1" 200 19353
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:46:13 +0600] "GET /myBlog/singlePostView?id=22 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:46:14 +0600] "GET /myBlog/singlePostView.jsp?id=22 HTTP/1.1" 200 6653
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:46:14 +0600] "GET /imgFolder/1529445924_9126_NpAdvSinglePhoto.jpg HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:46:53 +0600] "GET /myBlog/singlePostView.jsp?id=22 HTTP/1.1" 200 6650
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:47:24 +0600] "GET /myBlog/index.jsp HTTP/1.1" 200 19353
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:47:29 +0600] "GET /myBlog/singlePostView?id=23 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:47:29 +0600] "GET /myBlog/singlePostView.jsp?id=23 HTTP/1.1" 200 6817
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:47:36 +0600] "GET /myBlog/index.jsp HTTP/1.1" 200 19353
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:48:09 +0600] "GET /myBlog/singlePostView?id=24 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:48:09 +0600] "GET /myBlog/singlePostView.jsp?id=24 HTTP/1.1" 200 6674
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:51:24 +0600] "GET /myBlog/singlePostView.jsp?id=24 HTTP/1.1" 200 5883
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:51:53 +0600] "GET /myBlog/singlePostView.jsp?id=24 HTTP/1.1" 200 5831
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:52:41 +0600] "GET /myBlog/singlePostView.jsp?id=24 HTTP/1.1" 200 5832
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:53:12 +0600] "GET /myBlog/singlePostView.jsp?id=24 HTTP/1.1" 200 5802
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:53:27 +0600] "GET /myBlog/singlePostView?id=22 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:53:27 +0600] "GET /myBlog/singlePostView.jsp?id=22 HTTP/1.1" 200 5778
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:53:33 +0600] "GET /myBlog/singlePostView?id=23 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:53:33 +0600] "GET /myBlog/singlePostView.jsp?id=23 HTTP/1.1" 200 5800
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:54:14 +0600] "GET /myBlog/singlePostView.jsp?id=23 HTTP/1.1" 200 5801
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:55:15 +0600] "GET /myBlog/singlePostView.jsp?id=23 HTTP/1.1" 200 5831
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:55:42 +0600] "GET /myBlog/index.jsp HTTP/1.1" 200 19353
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:55:48 +0600] "GET /myBlog/singlePostView?id=22 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:55:48 +0600] "GET /myBlog/singlePostView.jsp?id=22 HTTP/1.1" 200 5809
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:56:00 +0600] "GET /myBlog/index.jsp HTTP/1.1" 200 19353
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:56:27 +0600] "GET /myBlog/singlePostView?id=21 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:56:27 +0600] "GET /myBlog/singlePostView.jsp?id=21 HTTP/1.1" 200 5800
0:0:0:0:0:0:0:1 - - [09/Dec/2016:17:56:56 +0600] "GET /myBlog/index.jsp HTTP/1.1" 200 19353
0:0:0:0:0:0:0:1 - - [09/Dec/2016:18:01:24 +0600] "GET /myBlog/admin/dashboard.jsp HTTP/1.1" 200 13629
0:0:0:0:0:0:0:1 - - [09/Dec/2016:18:01:25 +0600] "GET /myBlog/index.jsp HTTP/1.1" 200 19353
0:0:0:0:0:0:0:1 - - [09/Dec/2016:18:01:31 +0600] "GET /myBlog/singlePostView?id=23 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:18:01:31 +0600] "GET /myBlog/singlePostView.jsp?id=23 HTTP/1.1" 200 7374
0:0:0:0:0:0:0:1 - - [09/Dec/2016:18:04:02 +0600] "GET /myBlog/singlePostView.jsp?id=23 HTTP/1.1" 200 7458
